Infinitive,возда́ть
Zaliznyak Class,irreg-b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,во́зданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возда́м
2nd Sing,возда́шь
3rd Sing,возда́ст
1st Pl,воздади́м
2nd Pl,воздади́те
3rd Pl,воздаду́т
Past M,возда́л
Past F,воздала́
Past N,возда́ло
Past PL,возда́ли
Imp S,возда́й
Imp PL,возда́йте
