Infinitive,вогна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вогна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,во́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вогна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вогна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вгоню́
2nd Sing,вго́нишь
3rd Sing,вго́нит
1st Pl,вго́ним
2nd Pl,вго́ните
3rd Pl,вго́нят
Past M,вогна́л
Past F,вогнала́
Past N,вогна́ло
Past PL,вогна́ли
Imp S,вгони́
Imp PL,вгони́те
