Infinitive,возде́лывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возде́лывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возде́лывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возде́лываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возде́лывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,возде́лывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,возде́лывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,возде́лываю
2nd Sing,возде́лываешь
3rd Sing,возде́лывает
1st Pl,возде́лываем
2nd Pl,возде́лываете
3rd Pl,возде́лывают
Past M,возде́лывал
Past F,возде́лывала
Past N,возде́лывало
Past PL,возде́лывали
Imp S,возде́лывай
Imp PL,возде́лывайте
