Infinitive,воодушеви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воодушеви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воодушевлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воодушеви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воодушеви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воодушевлю́
2nd Sing,воодушеви́шь
3rd Sing,воодушеви́т
1st Pl,воодушеви́м
2nd Pl,воодушеви́те
3rd Pl,воодушевя́т
Past M,воодушеви́л
Past F,воодушеви́ла
Past N,воодушеви́ло
Past PL,воодушеви́ли
Imp S,воодушеви́
Imp PL,воодушеви́те
