Infinitive,воскреша́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воскреша́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воскреша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воскреша́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воскреша́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,воскреша́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,воскреша́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,воскреша́ю
2nd Sing,воскреша́ешь
3rd Sing,воскреша́ет
1st Pl,воскреша́ем
2nd Pl,воскреша́ете
3rd Pl,воскреша́ют
Past M,воскреша́л
Past F,воскреша́ла
Past N,воскреша́ло
Past PL,воскреша́ли
Imp S,воскреша́й
Imp PL,воскреша́йте
