Infinitive,воспо́льзоваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воспо́льзовавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспо́льзовавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,воспо́льзуюсь
2nd Sing,воспо́льзуешься
3rd Sing,воспо́льзуется
1st Pl,воспо́льзуемся
2nd Pl,воспо́льзуетесь
3rd Pl,воспо́льзуются
Past M,воспо́льзовался
Past F,воспо́льзовалась
Past N,воспо́льзовалось
Past PL,воспо́льзовались
Imp S,воспо́льзуйся
Imp PL,воспо́льзуйтесь
