Infinitive,вообрази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вообрази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воображённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вообрази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вообрази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воображу́
2nd Sing,вообрази́шь
3rd Sing,вообрази́т
1st Pl,вообрази́м
2nd Pl,вообрази́те
3rd Pl,вообразя́т
Past M,вообрази́л
Past F,вообрази́ла
Past N,вообрази́ло
Past PL,вообрази́ли
Imp S,вообрази́
Imp PL,вообрази́те
