Infinitive,воспря́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,воспря́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспря́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,воспря́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,воспря́ну
2nd Sing,воспря́нешь
3rd Sing,воспря́нет
1st Pl,воспря́нем
2nd Pl,воспря́нете
3rd Pl,воспря́нут
Past M,воспря́нул
Past F,воспря́нула
Past N,воспря́нуло
Past PL,воспря́нули
Imp S,воспря́нь
Imp PL,воспря́ньте
