Infinitive,волнова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,волну́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,волнова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,волну́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,волнова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,волну́юсь
2nd Sing,волну́ешься
3rd Sing,волну́ется
1st Pl,волну́емся
2nd Pl,волну́етесь
3rd Pl,волну́ются
Past M,волнова́лся
Past F,волнова́лась
Past N,волнова́лось
Past PL,волнова́лись
Imp S,волну́йся
Imp PL,волну́йтесь
