Infinitive,возврати́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возврати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возврати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возврати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возвращу́
2nd Sing,возврати́шь
3rd Sing,возврати́т
1st Pl,возврати́м
2nd Pl,возврати́те
3rd Pl,возвратя́т
Past M,возврати́л
Past F,возврати́ла
Past N,возврати́ло
Past PL,возврати́ли
Imp S,возврати́
Imp PL,возврати́те
