Infinitive,возбуди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возбуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возбуждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возбуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возбуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возбужу́
2nd Sing,возбуди́шь
3rd Sing,возбуди́т
1st Pl,возбуди́м
2nd Pl,возбуди́те
3rd Pl,возбудя́т
Past M,возбуди́л
Past F,возбуди́ла
Past N,возбуди́ло
Past PL,возбуди́ли
Imp S,возбуди́
Imp PL,возбуди́те
