Infinitive,ворва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ворва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ворва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ворву́сь
2nd Sing,ворвёшься
3rd Sing,ворвётся
1st Pl,ворвёмся
2nd Pl,ворвётесь
3rd Pl,ворву́тся
Past M,ворва́лся
Past F,ворвала́сь
Past N,ворвало́сь
Past PL,ворвали́сь
Imp S,ворви́сь
Imp PL,ворви́тесь
