Infinitive,возвести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возведу́
2nd Sing,возведёшь
3rd Sing,возведёт
1st Pl,возведём
2nd Pl,возведёте
3rd Pl,возведу́т
Past M,возвёл
Past F,возвела́
Past N,возвело́
Past PL,возвели́
Imp S,возведи́
Imp PL,возведи́те
