Infinitive,воспрепя́тствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,воспрепя́тствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспрепя́тствовав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,воспрепя́тствовавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,воспрепя́тствую
2nd Sing,воспрепя́тствуешь
3rd Sing,воспрепя́тствует
1st Pl,воспрепя́тствуем
2nd Pl,воспрепя́тствуете
3rd Pl,воспрепя́тствуют
Past M,воспрепя́тствовал
Past F,воспрепя́тствовала
Past N,воспрепя́тствовало
Past PL,воспрепя́тствовали
Imp S,воспрепя́тствуй
Imp PL,воспрепя́тствуйте
