Infinitive,восстанови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,восстанови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,восстано́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восстанови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,восстанови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,восстановлю́
2nd Sing,восстано́вишь
3rd Sing,восстано́вит
1st Pl,восстано́вим
2nd Pl,восстано́вите
3rd Pl,восстано́вят
Past M,восстанови́л
Past F,восстанови́ла
Past N,восстанови́ло
Past PL,восстанови́ли
Imp S,восстанови́
Imp PL,восстанови́те
