Infinitive,воспреща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воспреща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспреща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспреща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воспреща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспреща́юсь
2nd Sing,воспреща́ешься
3rd Sing,воспреща́ется
1st Pl,воспреща́емся
2nd Pl,воспреща́етесь
3rd Pl,воспреща́ются
Past M,воспреща́лся
Past F,воспреща́лась
Past N,воспреща́лось
Past PL,воспреща́лись
Imp S,воспреща́йся
Imp PL,воспреща́йтесь
