Infinitive,водрузи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,водрузи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,водружённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,водрузи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,водрузи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,водружу́
2nd Sing,водрузи́шь
3rd Sing,водрузи́т
1st Pl,водрузи́м
2nd Pl,водрузи́те
3rd Pl,водрузя́т
Past M,водрузи́л
Past F,водрузи́ла
Past N,водрузи́ло
Past PL,водрузи́ли
Imp S,водрузи́
Imp PL,водрузи́те
