Infinitive,возводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возвожу́сь
2nd Sing,возво́дишься
3rd Sing,возво́дится
1st Pl,возво́димся
2nd Pl,возво́дитесь
3rd Pl,возво́дятся
Past M,возводи́лся
Past F,возводи́лась
Past N,возводи́лось
Past PL,возводи́лись
Imp S,возводи́сь
Imp PL,возводи́тесь
