Infinitive,воздви́гнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воздви́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,воздви́гнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воздви́гнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,воздви́гнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,воздви́гши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,воздви́гну
2nd Sing,воздви́гнешь
3rd Sing,воздви́гнет
1st Pl,воздви́гнем
2nd Pl,воздви́гнете
3rd Pl,воздви́гнут
Past M,воздви́г
Past F,воздви́гла
Past N,воздви́гло
Past PL,воздви́гли
Imp S,воздви́гни
Imp PL,воздви́гните
