Infinitive,возде́рживаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возде́рживающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возде́рживавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возде́рживаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возде́рживавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возде́рживаюсь
2nd Sing,возде́рживаешься
3rd Sing,возде́рживается
1st Pl,возде́рживаемся
2nd Pl,возде́рживаетесь
3rd Pl,возде́рживаются
Past M,возде́рживался
Past F,возде́рживалась
Past N,возде́рживалось
Past PL,возде́рживались
Imp S,возде́рживайся
Imp PL,возде́рживайтесь
