Infinitive,возроди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возроди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возрождённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возроди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возроди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
2nd Sing,возроди́шь
3rd Sing,возроди́т
1st Pl,возроди́м
2nd Pl,возроди́те
3rd Pl,возродя́т
Past M,возроди́л
Past F,возроди́ла
Past N,возроди́ло
Past PL,возроди́ли
Imp S,возроди́
Imp PL,возроди́те
