Infinitive,возноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вознося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вознося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возношу́сь
2nd Sing,возно́сишься
3rd Sing,возно́сится
1st Pl,возно́симся
2nd Pl,возно́ситесь
3rd Pl,возно́сятся
Past M,возноси́лся
Past F,возноси́лась
Past N,возноси́лось
Past PL,возноси́лись
Imp S,возноси́сь
Imp PL,возноси́тесь
