Infinitive,восстана́вливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,восстана́вливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восстана́вливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восстана́вливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восстана́вливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,восстана́вливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,восстана́вливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,восстана́вливаю
2nd Sing,восстана́вливаешь
3rd Sing,восстана́вливает
1st Pl,восстана́вливаем
2nd Pl,восстана́вливаете
3rd Pl,восстана́вливают
Past M,восстана́вливал
Past F,восстана́вливала
Past N,восстана́вливало
Past PL,восстана́вливали
Imp S,восстана́вливай
Imp PL,восстана́вливайте
