Infinitive,восторга́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,восторга́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восторга́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восторга́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восторга́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,восторга́юсь
2nd Sing,восторга́ешься
3rd Sing,восторга́ется
1st Pl,восторга́емся
2nd Pl,восторга́етесь
3rd Pl,восторга́ются
Past M,восторга́лся
Past F,восторга́лась
Past N,восторга́лось
Past PL,восторга́лись
Imp S,восторга́йся
Imp PL,восторга́йтесь
