Infinitive,воздержа́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воздержа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воздержа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,воздержу́сь
2nd Sing,возде́ржишься
3rd Sing,возде́ржится
1st Pl,возде́ржимся
2nd Pl,возде́ржитесь
3rd Pl,возде́ржатся
Past M,воздержа́лся
Past F,воздержа́лась
Past N,воздержа́лось
Past PL,воздержа́лись
Imp S,воздержи́сь
Imp PL,воздержи́тесь
