Infinitive,воспита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воспита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воспита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспита́ю
2nd Sing,воспита́ешь
3rd Sing,воспита́ет
1st Pl,воспита́ем
2nd Pl,воспита́ете
3rd Pl,воспита́ют
Past M,воспита́л
Past F,воспита́ла
Past N,воспита́ло
Past PL,воспита́ли
Imp S,воспита́й
Imp PL,воспита́йте
