Infinitive,вопроси́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вопроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вопрошённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вопроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вопроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вопрошу́
2nd Sing,вопроси́шь
3rd Sing,вопроси́т
1st Pl,вопроси́м
2nd Pl,вопроси́те
3rd Pl,вопрося́т
Past M,вопроси́л
Past F,вопроси́ла
Past N,вопроси́ло
Past PL,вопроси́ли
Imp S,вопроси́
Imp PL,вопроси́те
