Infinitive,возвы́ситься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возвы́сившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвы́сившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возвы́шусь
2nd Sing,возвы́сишься
3rd Sing,возвы́сится
1st Pl,возвы́симся
2nd Pl,возвы́ситесь
3rd Pl,возвы́сятся
Past M,возвы́сился
Past F,возвы́силась
Past N,возвы́силось
Past PL,возвы́сились
Imp S,возвы́сься
Imp PL,возвы́сьтесь
