Infinitive,воло́чь
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,волоку́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воло́кший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,волочённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,воло́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,волоку́
2nd Sing,волочёшь
3rd Sing,волочёт
1st Pl,волочём
2nd Pl,волочёте
3rd Pl,волоку́т
Past M,воло́к
Past F,волокла́
Past N,волокло́
Past PL,волокли́
Imp S,волоки́
Imp PL,волоки́те
