Infinitive,возбуди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возбуди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возбуди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возбужу́сь
2nd Sing,возбуди́шься
3rd Sing,возбуди́тся
1st Pl,возбуди́мся
2nd Pl,возбуди́тесь
3rd Pl,возбудя́тся
Past M,возбуди́лся
Past F,возбуди́лась
Past N,возбуди́лось
Past PL,возбуди́лись
Imp S,возбуди́сь
Imp PL,возбуди́тесь
