Infinitive,возвеща́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возвеща́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвеща́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возвеща́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возвеща́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,возвеща́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,возвеща́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,возвеща́ю
2nd Sing,возвеща́ешь
3rd Sing,возвеща́ет
1st Pl,возвеща́ем
2nd Pl,возвеща́ете
3rd Pl,возвеща́ют
Past M,возвеща́л
Past F,возвеща́ла
Past N,возвеща́ло
Past PL,возвеща́ли
Imp S,возвеща́й
Imp PL,возвеща́йте
