Infinitive,сгреба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгреба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгреба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгреба́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгреба́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сгреба́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сгреба́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сгреба́ю
2nd Sing,сгреба́ешь
3rd Sing,сгреба́ет
1st Pl,сгреба́ем
2nd Pl,сгреба́ете
3rd Pl,сгреба́ют
Past M,сгреба́л
Past F,сгреба́ла
Past N,сгреба́ло
Past PL,сгреба́ли
Imp S,сгреба́й
Imp PL,сгреба́йте
