Infinitive,сгла́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгла́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгла́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгла́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сгла́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгла́жу
2nd Sing,сгла́дишь
3rd Sing,сгла́дит
1st Pl,сгла́дим
2nd Pl,сгла́дите
3rd Pl,сгла́дят
Past M,сгла́дил
Past F,сгла́дила
Past N,сгла́дило
Past PL,сгла́дили
Imp S,сгла́дь
Imp PL,сгла́дьте
