Infinitive,сгусти́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сгусти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгусти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сгущу́сь
2nd Sing,сгусти́шься
3rd Sing,сгусти́тся
1st Pl,сгусти́мся
2nd Pl,сгусти́тесь
3rd Pl,сгустя́тся
Past M,сгусти́лся
Past F,сгусти́лась
Past N,сгусти́лось
Past PL,сгусти́лись
Imp S,сгусти́сь
Imp PL,сгусти́тесь
