Infinitive,сглотну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сглотну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгло́тнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сглотну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сглотну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сглотну́
2nd Sing,сглотнёшь
3rd Sing,сглотнёт
1st Pl,сглотнём
2nd Pl,сглотнёте
3rd Pl,сглотну́т
Past M,сглотну́л
Past F,сглотну́ла
Past N,сглотну́ло
Past PL,сглотну́ли
Imp S,сглотни́
Imp PL,сглотни́те
