Infinitive,сгла́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгла́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгла́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгла́живаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгла́живая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сгла́живав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сгла́живавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сгла́живаю
2nd Sing,сгла́живаешь
3rd Sing,сгла́живает
1st Pl,сгла́живаем
2nd Pl,сгла́живаете
3rd Pl,сгла́живают
Past M,сгла́живал
Past F,сгла́живала
Past N,сгла́живало
Past PL,сгла́живали
Imp S,сгла́живай
Imp PL,сгла́живайте
