Infinitive,сгусти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгущённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сгусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгущу́
2nd Sing,сгусти́шь
3rd Sing,сгусти́т
1st Pl,сгусти́м
2nd Pl,сгусти́те
3rd Pl,сгустя́т
Past M,сгусти́л
Past F,сгусти́ла
Past N,сгусти́ло
Past PL,сгусти́ли
Imp S,сгусти́
Imp PL,сгусти́те
