Infinitive,сгоди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сгоди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгоди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сгожу́сь
2nd Sing,сгоди́шься
3rd Sing,сгоди́тся
1st Pl,сгоди́мся
2nd Pl,сгоди́тесь
3rd Pl,сгодя́тся
Past M,сгоди́лся
Past F,сгоди́лась
Past N,сгоди́лось
Past PL,сгоди́лись
Imp S,сгоди́сь
Imp PL,сгоди́тесь
