Infinitive,сгла́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгла́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгла́зив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сгла́зивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сгла́жу
2nd Sing,сгла́зишь
3rd Sing,сгла́зит
1st Pl,сгла́зим
2nd Pl,сгла́зите
3rd Pl,сгла́зят
Past M,сгла́зил
Past F,сгла́зила
Past N,сгла́зило
Past PL,сгла́зили
Imp S,сгла́зь
Imp PL,сгла́зьте
