Infinitive,сго́рбить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сго́рбивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сго́рбленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сго́рбив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сго́рбивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сго́рблю
2nd Sing,сго́рбишь
3rd Sing,сго́рбит
1st Pl,сго́рбим
2nd Pl,сго́рбите
3rd Pl,сго́рбят
Past M,сго́рбил
Past F,сго́рбила
Past N,сго́рбило
Past PL,сго́рбили
Imp S,сго́рби
Imp PL,сго́рбите
