Infinitive,сгуби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгуби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгу́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгуби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сгуби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгублю́
2nd Sing,сгу́бишь
3rd Sing,сгу́бит
1st Pl,сгу́бим
2nd Pl,сгу́бите
3rd Pl,сгу́бят
Past M,сгуби́л
Past F,сгуби́ла
Past N,сгуби́ло
Past PL,сгуби́ли
Imp S,сгуби́
Imp PL,сгуби́те
