Infinitive,сги́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сги́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сги́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сги́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сги́ну
2nd Sing,сги́нешь
3rd Sing,сги́нет
1st Pl,сги́нем
2nd Pl,сги́нете
3rd Pl,сги́нут
Past M,сги́нул
Past F,сги́нула
Past N,сги́нуло
Past PL,сги́нули
Imp S,сги́нь
Imp PL,сги́ньте
