Infinitive,сговори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сговори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сговори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сговорю́сь
2nd Sing,сговори́шься
3rd Sing,сговори́тся
1st Pl,сговори́мся
2nd Pl,сговори́тесь
3rd Pl,сговоря́тся
Past M,сговори́лся
Past F,сговори́лась
Past N,сговори́лось
Past PL,сговори́лись
Imp S,сговори́сь
Imp PL,сговори́тесь
