Infinitive,сгова́риваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сгова́ривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгова́ривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгова́риваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгова́ривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгова́риваюсь
2nd Sing,сгова́риваешься
3rd Sing,сгова́ривается
1st Pl,сгова́риваемся
2nd Pl,сгова́риваетесь
3rd Pl,сгова́риваются
Past M,сгова́ривался
Past F,сгова́ривалась
Past N,сгова́ривалось
Past PL,сгова́ривались
Imp S,сгова́ривайся
Imp PL,сгова́ривайтесь
