Infinitive,сгора́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сгора́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгора́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгора́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгора́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сгора́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сгора́ю
2nd Sing,сгора́ешь
3rd Sing,сгора́ет
1st Pl,сгора́ем
2nd Pl,сгора́ете
3rd Pl,сгора́ют
Past M,сгора́л
Past F,сгора́ла
Past N,сгора́ло
Past PL,сгора́ли
Imp S,сгора́й
Imp PL,сгора́йте
