Infinitive,сгиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сгиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгиба́юсь
2nd Sing,сгиба́ешься
3rd Sing,сгиба́ется
1st Pl,сгиба́емся
2nd Pl,сгиба́етесь
3rd Pl,сгиба́ются
Past M,сгиба́лся
Past F,сгиба́лась
Past N,сгиба́лось
Past PL,сгиба́лись
Imp S,сгиба́йся
Imp PL,сгиба́йтесь
