Infinitive,сгуща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сгуща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгуща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгуща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгуща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгуща́юсь
2nd Sing,сгуща́ешься
3rd Sing,сгуща́ется
1st Pl,сгуща́емся
2nd Pl,сгуща́етесь
3rd Pl,сгуща́ются
Past M,сгуща́лся
Past F,сгуща́лась
Past N,сгуща́лось
Past PL,сгуща́лись
Imp S,сгуща́йся
Imp PL,сгуща́йтесь
