Infinitive,сго́рбиться
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сго́рбившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сго́рбившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сго́рблюсь
2nd Sing,сго́рбишься
3rd Sing,сго́рбится
1st Pl,сго́рбимся
2nd Pl,сго́рбитесь
3rd Pl,сго́рбятся
Past M,сго́рбился
Past F,сго́рбилась
Past N,сго́рбилось
Past PL,сго́рбились
Imp S,сго́рбись
Imp PL,сго́рбитесь
