Infinitive,сгиба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгиба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгиба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгиба́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сгиба́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сгиба́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сгиба́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сгиба́ю
2nd Sing,сгиба́ешь
3rd Sing,сгиба́ет
1st Pl,сгиба́ем
2nd Pl,сгиба́ете
3rd Pl,сгиба́ют
Past M,сгиба́л
Past F,сгиба́ла
Past N,сгиба́ло
Past PL,сгиба́ли
Imp S,сгиба́й
Imp PL,сгиба́йте
