Infinitive,"сгру́диться, сгруди́ться"
Zaliznyak Class,4a // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сгру́дившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,сгруди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгру́дившись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сгруди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сгру́жусь
2nd Sing,сгру́дишься
3rd Sing,сгру́дится
1st Pl,сгру́димся
2nd Pl,сгру́дитесь
3rd Pl,сгру́дятся
Past M,сгру́дился
Past F,сгру́дилась
Past N,сгру́дилось
Past PL,сгру́дились
Imp S,сгру́дься
Imp PL,сгру́дьтесь
