Infinitive,сгрести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сгрёбший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сгребённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сгрёбши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сгребу́
2nd Sing,сгребёшь
3rd Sing,сгребёт
1st Pl,сгребём
2nd Pl,сгребёте
3rd Pl,сгребу́т
Past M,сгрёб
Past F,сгребла́
Past N,сгребло́
Past PL,сгребли́
Imp S,сгреби́
Imp PL,сгреби́те
