Infinitive,удивля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удивля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,удивля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удивля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,удивля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удивля́юсь
2nd Sing,удивля́ешься
3rd Sing,удивля́ется
1st Pl,удивля́емся
2nd Pl,удивля́етесь
3rd Pl,удивля́ются
Past M,удивля́лся
Past F,удивля́лась
Past N,удивля́лось
Past PL,удивля́лись
Imp S,удивля́йся
Imp PL,удивля́йтесь
