Infinitive,удосу́житься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удосу́жившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удосу́жившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удосу́жусь
2nd Sing,удосу́жишься
3rd Sing,удосу́жится
1st Pl,удосу́жимся
2nd Pl,удосу́житесь
3rd Pl,удосу́жатся
Past M,удосу́жился
Past F,удосу́жилась
Past N,удосу́жилось
Past PL,удосу́жились
Imp S,удосу́жься
Imp PL,удосу́жьтесь
