Infinitive,уделя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уделя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уделя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уделя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уделя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уделя́юсь
2nd Sing,уделя́ешься
3rd Sing,уделя́ется
1st Pl,уделя́емся
2nd Pl,уделя́етесь
3rd Pl,уделя́ются
Past M,уделя́лся
Past F,уделя́лась
Past N,уделя́лось
Past PL,уделя́лись
Imp S,уделя́йся
Imp PL,уделя́йтесь
