Infinitive,удлини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удлини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удлинённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удлини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удлини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удлиню́
2nd Sing,удлини́шь
3rd Sing,удлини́т
1st Pl,удлини́м
2nd Pl,удлини́те
3rd Pl,удлиня́т
Past M,удлини́л
Past F,удлини́ла
Past N,удлини́ло
Past PL,удлини́ли
Imp S,удлини́
Imp PL,удлини́те
