Infinitive,уде́рживаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уде́рживающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уде́рживавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уде́рживаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уде́рживавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уде́рживаюсь
2nd Sing,уде́рживаешься
3rd Sing,уде́рживается
1st Pl,уде́рживаемся
2nd Pl,уде́рживаетесь
3rd Pl,уде́рживаются
Past M,уде́рживался
Past F,уде́рживалась
Past N,уде́рживалось
Past PL,уде́рживались
Imp S,уде́рживайся
Imp PL,уде́рживайтесь
