Infinitive,удиви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удиви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удивлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удиви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удиви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удивлю́
2nd Sing,удиви́шь
3rd Sing,удиви́т
1st Pl,удиви́м
2nd Pl,удиви́те
3rd Pl,удивя́т
Past M,удиви́л
Past F,удиви́ла
Past N,удиви́ло
Past PL,удиви́ли
Imp S,удиви́
Imp PL,удиви́те
