Infinitive,удави́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удави́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удави́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удавлю́сь
2nd Sing,уда́вишься
3rd Sing,уда́вится
1st Pl,уда́вимся
2nd Pl,уда́витесь
3rd Pl,уда́вятся
Past M,удави́лся
Past F,удави́лась
Past N,удави́лось
Past PL,удави́лись
Imp S,удави́сь
Imp PL,удави́тесь
