Infinitive,удали́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,удалю́сь
2nd Sing,удали́шься
3rd Sing,удали́тся
1st Pl,удали́мся
2nd Pl,удали́тесь
3rd Pl,удаля́тся
Past M,удали́лся
Past F,удали́лась
Past N,удали́лось
Past PL,удали́лись
Imp S,удали́сь
Imp PL,удали́тесь
