Infinitive,ударя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ударя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ударя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ударя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ударя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ударя́юсь
2nd Sing,ударя́ешься
3rd Sing,ударя́ется
1st Pl,ударя́емся
2nd Pl,ударя́етесь
3rd Pl,ударя́ются
Past M,ударя́лся
Past F,ударя́лась
Past N,ударя́лось
Past PL,ударя́лись
Imp S,ударя́йся
Imp PL,ударя́йтесь
