Infinitive,удели́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уделённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уделю́
2nd Sing,удели́шь
3rd Sing,удели́т
1st Pl,удели́м
2nd Pl,удели́те
3rd Pl,уделя́т
Past M,удели́л
Past F,удели́ла
Past N,удели́ло
Past PL,удели́ли
Imp S,удели́
Imp PL,удели́те
