Infinitive,удоста́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,удоста́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,удоста́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удоста́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,удоста́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удоста́иваюсь
2nd Sing,удоста́иваешься
3rd Sing,удоста́ивается
1st Pl,удоста́иваемся
2nd Pl,удоста́иваетесь
3rd Pl,удоста́иваются
Past M,удоста́ивался
Past F,удоста́ивалась
Past N,удоста́ивалось
Past PL,удоста́ивались
Imp S,удоста́ивайся
Imp PL,удоста́ивайтесь
