Infinitive,удовлетвори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удовлетвори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,удовлетворённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удовлетвори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удовлетвори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удовлетворю́
2nd Sing,удовлетвори́шь
3rd Sing,удовлетвори́т
1st Pl,удовлетвори́м
2nd Pl,удовлетвори́те
3rd Pl,удовлетворя́т
Past M,удовлетвори́л
Past F,удовлетвори́ла
Past N,удовлетвори́ло
Past PL,удовлетвори́ли
Imp S,удовлетвори́
Imp PL,удовлетвори́те
