Infinitive,удави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,удави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уда́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,удави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,удави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,удавлю́
2nd Sing,уда́вишь
3rd Sing,уда́вит
1st Pl,уда́вим
2nd Pl,уда́вите
3rd Pl,уда́вят
Past M,удави́л
Past F,удави́ла
Past N,удави́ло
Past PL,удави́ли
Imp S,удави́
Imp PL,удави́те
